"idPopulations0","PMID","pNam","popSize","popCountry","popMainChar","pSecChar","inclCrit","ageUni","ageMean","ageSD","ageLow","ageUp","femaleFreq"
NA,"17048152",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"16781992",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"15938668",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"20963464",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"18702341",NA,NA,"united kingdom",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"18451716",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"8645981",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"25255993",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"25501955",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"28485846",NA,NA,"chile",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"17058043",NA,"7","",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"17324360",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"16041199",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"29984694",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"15742909",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"20816466",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"2020223",NA,NA,"mali",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"11898507",NA,"4","",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"2046918",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"22840792",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"15167065",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"31793548",NA,"1","",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"16004844",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"19450329",NA,"29","",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"2227537",NA,"5520","",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"15836574",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"17040332",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"16789606",NA,"15","mali",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"21556708",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"15549551",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"21455738",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"17462518",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"23030540",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"15172509",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"11889417",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"27910093",NA,"1","",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"11480269",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"11784817",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"23848227",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"18339350",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"12858070",NA,NA,"mali",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"21643792",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"12628057",NA,"1","",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"21465114",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"10386120",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"17404778",NA,"54","",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"2520374",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"18941726",NA,NA,"mali",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"8486509",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"11279710",NA,"1151","",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"16643310",NA,"51","",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"10824284",NA,NA,"mali",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"15228889",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"23278122",NA,NA,"united states",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"18625109",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"22644159",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"11595011",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"16735806",NA,"50","",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"23587730",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"14980148",NA,NA,"mali",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"15172511",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"24492815",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"22814796",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"12485201",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"15745621",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"11480257",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"12682307",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"16141968",NA,NA,"united kingdom",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"20521127",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"7591883",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"20816264",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"20425203",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"28918794",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"17986672",NA,NA,"united states",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"11139751",NA,NA,"american, english",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"16575503",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"20865354",NA,NA,"mali",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"15962999",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA
