"idPopulations0","PMID","pNam","popSize","popCountry","popMainChar","pSecChar","inclCrit","ageUni","ageMean","ageSD","ageLow","ageUp","femaleFreq","ageClass","sexClass","popDisease","popComorbidity","fromCode","projectName","uploadDate"
,"37090958",,,"",,"alzheimer's disease, cognitive impairment",,,,,,,,,,,,1,"projTutoParkinson","2023-12-28"
,"37069360",,,"japan",,"",,,,,,,,,,,,1,"projTutoParkinson","2023-12-28"
,"37066239",,,"",,"dementia, ",,,,,,,,,,,,1,"projTutoParkinson","2023-12-28"
,"37063844",,,"",,"",,,,,,,,,,,,1,"projTutoParkinson","2023-12-28"
,"37043764",,,"",,"alzheimer's disease, diabetes, dementia",,,,,,,,,,,,1,"projTutoParkinson","2023-12-28"
,"37034792",,,"",,"dementia, ",,,,,,,,,,,,1,"projTutoParkinson","2023-12-28"
,"37022872",,,"",,"parkinson's disease, ",,,,,,,,,,,,1,"projTutoParkinson","2023-12-28"
,"37012068",,"476","",,"dementia, cognitive impairment",,,,,,,,,,"chronic kidney disease",,1,"projTutoParkinson","2023-12-28"
,"37008066",,,"",,"dementia, ",,,,,,,,,,,,1,"projTutoParkinson","2023-12-28"
,"36974773",,"8537","",,"cognitive impairment, ",,,,,,,,,,"hypertension",,1,"projTutoParkinson","2023-12-28"
,"36959856",,,"",,"alzheimer's disease, ",,,,,,,,,,,,1,"projTutoParkinson","2023-12-28"
,"36947528",,"31661","united kingdom",,"",,,,,,,,,,"dementia",,1,"projTutoParkinson","2023-12-28"
,"36946458",,"1000","germany, sweden, spain",,", dementia",,,,,,,,,,"dementia",,1,"projTutoParkinson","2023-12-28"
,"36908283",,,"",,"parkinson's disease, ",,,,,,,,,,,,1,"projTutoParkinson","2023-12-28"
,"36905750",,,"",,"",,,,,,,,,,,,1,"projTutoParkinson","2023-12-28"
,"36882933",,,"",,"cognitive impairment, dementia",,,,,,,,,,,,1,"projTutoParkinson","2023-12-28"
,"36875239",,,"",,"cognitive impairment, dementia",,,,,,,,,,,,1,"projTutoParkinson","2023-12-28"
,"36831023",,,"",,"parkinson's disease, disability, genes",,,,,,,,,,,,1,"projTutoParkinson","2023-12-28"
,"36830773",,,"",,"alzheimer's disease, , cognitive impairment, dementia",,,,,,,,,,,,1,"projTutoParkinson","2023-12-28"
,"36827273",,,"",,"parkinson's disease, depression, constipation",,,,,,,,,,,,1,"projTutoParkinson","2023-12-28"
,"36810471",,,"mali",,"depression, stroke",,,,,,,,,,,,1,"projTutoParkinson","2023-12-28"
,"36800266",,,"",,"dementia, ",,,,,,,,,,,,1,"projTutoParkinson","2023-12-28"
,"36797645",,,"",,"",,,,,,,,,,,,1,"projTutoParkinson","2023-12-28"
,"36775208",,,"",,"",,,,,,,,,,,,1,"projTutoParkinson","2023-12-28"
,"36697886",,,"",,"",,,,,,,,,,,,1,"projTutoParkinson","2023-12-28"
,"36689643",,,"",,"dementia, ",,,,,,,,,,,,1,"projTutoParkinson","2023-12-28"
,"36681150",,,"",,"",,,,,,,,,,,,1,"projTutoParkinson","2023-12-28"
,"36658102",,"384344","",,"",,,,,,,,,,"respiratory disease mortality",,1,"projTutoParkinson","2023-12-28"
,"36632053",,,"mali",,"",,,,,,,,,,,,1,"projTutoParkinson","2023-12-28"
,"36617333",,,"peru",,"",,,,,,,,,,,,1,"projTutoParkinson","2023-12-28"
,"36611276",,,"",,"cognitive impairment, dementia",,,,,,,,,,"unimpaired cognition",,1,"projTutoParkinson","2023-12-28"
,"36604624",,,"",,"cognitive impairment, dementia",,,,,,,,,,,,1,"projTutoParkinson","2023-12-28"
,"36583634",,,"",,"psychosis, ",,,,,,,,,,,,1,"projTutoParkinson","2023-12-28"
,"36577880",,,"",,"",,,,,,,,,,,,1,"projTutoParkinson","2023-12-28"
,"36514559",,,"",,"stroke, dementia",,,,,,,,,,,,1,"projTutoParkinson","2023-12-28"
,"36480378",,,"",,"alzheimer's disease, dementia",,,,,,,,,,,,1,"projTutoParkinson","2023-12-28"
